146, 15, 142
191, 28, 130
193, 31, 119
161, 29, 106
277, 31, 186
158, 22, 125
207, 29, 125
104, 11, 128
227, 27, 158
100, 14, 121
223, 31, 136
131, 34, 78
188, 33, 107
136, 28, 86
110, 10, 142
114, 20, 78
188, 26, 134
212, 29, 145
199, 31, 127
257, 31, 177
96, 12, 113
150, 31, 86
128, 26, 97
117, 26, 73
173, 34, 117
205, 31, 129
140, 22, 82
155, 29, 99
144, 22, 86
194, 27, 113
194, 33, 132
209, 26, 139
232, 32, 140
237, 24, 152
154, 29, 90
181, 30, 117
208, 31, 123
169, 14, 169
216, 25, 163
251, 29, 160
159, 30, 94
205, 28, 138
189, 20, 174
109, 9, 132
156, 28, 94
216, 31, 130
212, 30, 133
208, 25, 154
258, 32, 174
125, 10, 151
210, 30, 145
157, 27, 93
210, 27, 140
163, 28, 103
260, 32, 187
178, 23, 110
131, 10, 153
128, 26, 114
133, 29, 78
218, 32, 135
162, 30, 99
151, 30, 88
237, 26, 145
71, 17, 45
219, 26, 136
230, 25, 160
156, 33, 101
185, 30, 122
102, 10, 132
153, 28, 95
168, 30, 122
152, 30, 111
188, 29, 128
138, 27, 98
166, 29, 108
149, 20, 138
151, 28, 99
210, 32, 126
168, 28, 112
193, 22, 136
82, 11, 119
201, 26, 141
172, 30, 101
153, 29, 88
172, 29, 107
207, 27, 134
156, 10, 563
176, 31, 116
224, 30, 132
209, 26, 131
253, 30, 168
232, 32, 150
98, 9, 138
266, 26, 168
218, 30, 137
219, 25, 140
184, 33, 105
189, 34, 126
253, 31, 187
186, 32, 116
102, 20, 103
208, 32, 128
162, 32, 102
73, 10, 60
183, 33, 117
144, 29, 95
222, 31, 140
220, 31, 145
187, 28, 114
182, 29, 115
196, 30, 126
148, 32, 104
180, 30, 111
128, 18, 86
159, 27, 117
180, 33, 116
170, 31, 116
177, 30, 112
153, 23, 102
126, 29, 76
126, 30, 78
126, 19, 121
201, 32, 138
193, 29, 124
188, 27, 129
210, 29, 135
205, 31, 141
91, 9, 122
172, 27, 126
184, 28, 111
165, 26, 109
201, 31, 112
254, 30, 173
186, 29, 124
221, 28, 133
255, 30, 161
147, 29, 90
180, 29, 117
257, 24, 165
161, 29, 105
211, 32, 139
242, 27, 134
183, 31, 132
187, 26, 121
217, 34, 133
160, 32, 106
227, 26, 148
258, 29, 160
226, 26, 153
182, 31, 125
172, 23, 132
194, 29, 114
141, 21, 131
180, 28, 105
92, 17, 72
118, 29, 90
229, 26, 165
200, 31, 129
151, 28, 104
62, 10, 64
231, 27, 154
208, 30, 133
239, 32, 161
204, 26, 128
190, 29, 139
113, 34, 70
100, 11, 78
239, 29, 160
269, 33, 182
225, 32, 134
170, 33, 98
130, 20, 131
166, 28, 115
168, 27, 98
196, 30, 112
180, 29, 106
168, 29, 102
203, 26, 141
166, 27, 99
136, 27, 89
140, 30, 87
180, 31, 126
204, 29, 149
224, 32, 140
269, 31, 173
186, 27, 123
149, 29, 113
138, 29, 80
179, 28, 128
214, 26, 149
126, 19, 144
180, 32, 117
235, 32, 146
135, 12, 150
217, 27, 135
168, 34, 113
231, 27, 157
126, 9, 156
205, 32, 134
182, 33, 112
186, 29, 114
147, 25, 119
249, 31, 155
251, 26, 154
154, 26, 136
126, 23, 113
176, 30, 100
231, 23, 154
190, 28, 141
182, 29, 116
190, 29, 125
36, 10, 30
125, 27, 104
277, 30, 180
246, 26, 186
147, 27, 96
153, 19, 140
200, 26, 124
181, 28, 132
236, 32, 142
224, 31, 147
68, 12, 57
117, 11, 134
158, 30, 96
134, 14, 144
171, 30, 118
104, 30, 77
215, 29, 138
120, 30, 75
175, 29, 99
214, 34, 130
244, 32, 147
182, 32, 128
93, 17, 62
192, 28, 133
169, 29, 102
101, 23, 71
235, 26, 148
102, 21, 56
249, 27, 156
226, 29, 145
213, 31, 127
177, 31, 133
234, 33, 162
208, 31, 127
204, 33, 129
226, 31, 140
255, 32, 166
206, 24, 147
207, 29, 138
